id,title,category,price,discountPercentage,rating
1,Essence Mascara Lash Princess,beauty,9.99,10.48,2.56
2,Eyeshadow Palette with Mirror,beauty,19.99,18.19,2.86
3,Powder Canister,beauty,14.99,9.84,4.64
4,Red Lipstick,beauty,12.99,12.16,4.36
5,Red Nail Polish,beauty,8.99,11.44,4.32
6,Calvin Klein CK One,fragrances,49.99,1.89,4.37
7,Chanel Coco Noir Eau De,fragrances,129.99,16.51,4.26
8,Dior J'adore,fragrances,89.99,14.72,3.8
9,Dolce Shine Eau de,fragrances,69.99,0.62,3.96
10,Gucci Bloom Eau de,fragrances,79.99,14.39,2.74
11,Annibale Colombo Bed,furniture,1899.99,8.57,4.77
12,Annibale Colombo Sofa,furniture,2499.99,14.4,3.92
13,Bedside Table African Cherry,furniture,299.99,19.09,2.87
14,Knoll Saarinen Executive Conference Chair,furniture,499.99,2.01,4.88
15,Wooden Bathroom Sink With Mirror,furniture,799.99,8.8,3.59
16,Apple,groceries,1.99,12.62,4.19
17,Beef Steak,groceries,12.99,9.61,4.47
18,Cat Food,groceries,8.99,9.58,3.13
19,Chicken Meat,groceries,9.99,13.7,3.19
20,Cooking Oil,groceries,4.99,9.33,4.8
